country,level1_id,level2_id,name,label
PHL,190,430,5439,Indalawan
PHL,178,404,5137,Ingan
PHL,143,285,1653,Iniban
BRA,10,345,4258,Inoçu
PHL,190,431,5445,Inogbong
PHL,178,420,5267,Inolinan
IDN,109,172,5743,Inomunga
IDN,109,172,4731,Inomunga Utara
PHL,145,335,2926,Intao
IDN,14,3,4413,Inulu
PHL,145,334,2892,Ipil
PHL,145,336,2916,Ipil
PHL,190,432,5472,Ipilan
PHL,190,433,5490,Ipilan
BRA,10,343,4148,Ipixuna
PHL,190,429,5424,Iraan
PHL,190,435,5504,Iraan
PHL,190,436,5518,Iraray
HND,20,121,572,Iriona Viejo
BRA,10,136,3945,Iririteua
PHL,190,429,5426,Isaub
PHL,190,434,5495,Isugod
PHL,190,436,5515,Isumbo
BRA,10,345,5291,Itacoã
BRA,10,137,5280,Itaçu
BRA,10,137,4057,Itacupim
BRA,10,345,4283,Itacuruçá
BRA,10,136,3934,Itajuba
BRA,10,345,4256,Itamarati
BRA,10,137,4049,Itamixila
BRA,10,345,4280,Itapari
BRA,10,145,3963,Itapepoca
BRA,10,448,5798,Itapeua
BRA,10,343,4145,Itapixuna
BRA,10,346,4328,Itauaçu
IDN,179,390,5020,Itawaka
PHL,190,431,5447,Iwahig
IDN,109,171,4723,Iyok
BRA,10,135,4085,Jacarequara
BRA,10,205,4154,Jacareteua
BRA,10,345,4248,Jacó
PHL,186,417,5232,Jacquez
PHL,172,378,4544,Jagnaya
PHL,189,427,5638,Jaguimitan
PHL,145,301,1728,Jalandoni
PHL,141,287,1764,Jamoyaon
BRA,10,205,4155,Jandiá
BRA,10,139,4025,Jandiaí
PHL,143,280,2583,Jantianon
PHL,146,327,1770,Japitan
BRA,10,447,5788,Jararaca
IDN,15,105,1126,Jefman Barat
IDN,15,105,1127,Jefman Timur
HND,20,152,2779,Jericó
IDN,109,171,5732,Jiko
IDN,109,171,5724,Jiko Utara
PHL,143,324,2134,Jilocon
PHL,145,325,2046,Jinalinan
PHL,145,334,2893,Jinalinan
PHL,145,337,2920,Jinalinan
BRA,10,139,3992,Jiquiri
PHL,187,425,5585,Jose Rizal Poblacion
IDN,185,403,5073,Juanga
PHL,141,286,1747,Jubang
BRA,10,346,4345,Juçateua
PHL,143,280,1646,Jugno
BRA,10,139,4039,Jundiaí
BRA,10,345,4307,Jurunas
BRA,10,205,4199,Jurussaca
PHL,186,408,5132,Justiniana Edera
BRA,10,145,3965,Jutaí
IDN,14,15,4663,Kabawakole
IDN,15,105,1139,Kabilol
IDN,109,173,4755,Kahakitang
IDN,14,10,2564,Kahianga
IDN,109,178,4817,Kahuku
IDN,14,16,81,Kaimbulawa
IDN,109,173,4756,Kalama
IDN,109,175,2876,Kalawiran
PHL,147,313,1994,Kaliantana
IDN,14,4,4615,Kalibu
IDN,15,105,2352,Kalitoko
IDN,15,105,1120,Kaliyam
IDN,15,105,1121,Kalwal
IDN,14,15,4657,Kambulabulana
IDN,14,15,64,Kamelanta
IDN,14,16,399,Kamoali
IDN,14,8,2812,Kamosope
IDN,14,7,2765,Kampoh Bunga
IDN,14,7,2766,Kampoh Cina
